key,zh,en,file,line
"zh_e4b8aae4babae8ae","个人设置","","packages/admin/src/components/ProfileModal.vue",12
"zh_e5a793e5908d","姓名","","packages/admin/src/components/ProfileModal.vue",25
"zh_e8afb7e8be93e585","请输入姓名","","packages/admin/src/components/ProfileModal.vue",29
"zh_e8b4a6e58fb7","账号","","packages/admin/src/components/ProfileModal.vue",32
"zh_e5bd93e5898de799","当前登录账号","","packages/admin/src/components/ProfileModal.vue",39
"zh_e982aee7aeb1","邮箱","","packages/admin/src/components/ProfileModal.vue",44
"zh_e69caae8aebee7bd","未设置邮箱","","packages/admin/src/components/ProfileModal.vue",51
"zh_e4bfaee694b9e5af","修改密码时需先填写旧密码","","packages/admin/src/components/ProfileModal.vue",59
"zh_e697a7e5af86e7a0","旧密码","","packages/admin/src/components/ProfileModal.vue",62
"zh_e4bfaee694b9e5af","修改密码时请输入旧密码","","packages/admin/src/components/ProfileModal.vue",68
"zh_e696b0e5af86e7a0","新密码","","packages/admin/src/components/ProfileModal.vue",73
"zh_e4bd8defbc8ce58c","位，包含字母和数字","","packages/admin/src/components/ProfileModal.vue",79
"zh_e7a1aee8aea4e5af","确认密码","","packages/admin/src/components/ProfileModal.vue",84
"zh_e8afb7e5868de6ac","请再次输入新密码","","packages/admin/src/components/ProfileModal.vue",90
"zh_e58f96e6b688","取消","","packages/admin/src/components/ProfileModal.vue",98
"zh_e4bf9de5ad98","保存","","packages/admin/src/components/ProfileModal.vue",101
"zh_e8afb7e8be93e585","请输入新密码","","packages/admin/src/components/ProfileModal.vue",141
"zh_e5af86e7a081e995","密码长度需为8-20位","","packages/admin/src/components/ProfileModal.vue",142
"zh_e5af86e7a081e99c","密码需包含字母","","packages/admin/src/components/ProfileModal.vue",143
"zh_e5af86e7a081e99c","密码需包含数字","","packages/admin/src/components/ProfileModal.vue",144
"zh_e8afb7e8be93e585","请输入旧密码","","packages/admin/src/components/ProfileModal.vue",150
"zh_e8afb7e7a1aee8ae","请确认新密码","","packages/admin/src/components/ProfileModal.vue",156
"zh_e4b8a4e6aca1e8be","两次输入的密码不一致","","packages/admin/src/components/ProfileModal.vue",157
"zh_e5af86e7a081e4bf","密码修改失败，请检查输入信息","","packages/admin/src/components/ProfileModal.vue",210
"zh_e4b8aae4babae8b5","个人资料修改失败，请检查输入信息","","packages/admin/src/components/ProfileModal.vue",220
"zh_e4bf9de5ad98e688","保存成功","","packages/admin/src/components/ProfileModal.vue",224
"zh_e799bbe5bd95","登录","","packages/admin/src/router/index.ts",13
"zh_e9a696e9a1b5","首页","","packages/admin/src/router/index.ts",24
"zh_e88f9ce58d95e7ae","菜单管理","","packages/admin/src/router/index.ts",30
"zh_e69d83e99990e985","权限配置","","packages/admin/src/router/index.ts",36
"zh_e5908ee58fb0e794","后台用户管理","","packages/admin/src/router/index.ts",42
"zh_e5ad97e585b8e7ae","字典管理","","packages/admin/src/router/index.ts",49
"zh_e5ada6e59198e7ae","学员管理","","packages/admin/src/router/index.ts",55
"zh_e5afbce5b888e7ae","导师管理","","packages/admin/src/router/index.ts",61
"zh_e59088e5908ce7ae","合同管理","","packages/admin/src/router/index.ts",67
"zh_e5afbce5b888e68e","导师排期管理","","packages/admin/src/router/index.ts",73
"zh_e5afbce5b888e8b5","导师资料变更审核","","packages/admin/src/router/index.ts",79
"zh_e5b297e4bd8de4bf","岗位信息","","packages/admin/src/router/index.ts",85
"zh_e5ada6e7949fe887","学生自添岗位","","packages/admin/src/router/index.ts",91
"zh_e5ada6e59198e6b1","学员求职总览","","packages/admin/src/router/index.ts",97
"zh_e6a8a1e68b9fe5ba","模拟应聘管理","","packages/admin/src/router/index.ts",103
"zh_e8afbee7a88be8ae","课程记录","","packages/admin/src/router/index.ts",109
"zh_e6938de4bd9ce697","操作日志","","packages/admin/src/router/index.ts",115
