file,line,category,original,suggested
"admin/src/views/career/job-overview/components/AssignMentorModal.vue",126,TERNARY_UNMAPPED,":data-field-name-alias=""`分配导师弹窗${item.mentorName}`""",":data-field-name-alias=""`分配导师弹窗${item.mentorName}`"""
"admin/src/views/career/job-overview/components/AssignMentorModal.vue",126,TMPL_LITERAL,":data-field-name-alias=""`分配导师弹窗${item.mentorName}`""","/* TODO: t() with interpolation */"
"admin/src/views/career/student-positions/components/ReviewPositionModal.vue",83,UNMAPPED,"const modalTitle = computed(() => (isPending.value ? '学生自添岗位编辑' : t('student_submitted_position_result')))","const modalTitle = computed(() => (isPending.value ? '学生自添岗位编辑' : t('student_submitted_position_result')))"
"admin/src/views/career/student-positions/components/ReviewPositionModal.vue",92,TMPL_LITERAL,"`提交于 ${formatDateTime(props.position.submittedAt)}`","/* TODO: t() with named interpolation */"
"admin/src/views/career/student-positions/components/ReviewPositionModal.vue",92,UNMAPPED,"return `提交于 ${formatDateTime(props.position.submittedAt)}`","return `提交于 ${formatDateTime(props.position.submittedAt)}`"
"admin/src/views/dashboard/components/MonthlyStats.vue",17,TMPL_LITERAL,"`${d.approvedClassHours}条`","/* TODO: t() with named interpolation */"
"admin/src/views/dashboard/components/MonthlyStats.vue",17,UNMAPPED,"{ label: t('reviewed_hours'), value: `${d.approvedClassHours}条`, style: {} },","{ label: t('reviewed_hours'), value: `${d.approvedClassHours}条`, style: {} },"
"admin/src/views/dashboard/index.vue",3,TMPL_LITERAL,":description=""`今天是 ${todayStr}`""","/* TODO: t() with interpolation */"
"admin/src/views/dashboard/index.vue",34,UNMAPPED,"const weekDays = ['日', '一', '二', '三', '四', '五', '六']","const weekDays = ['日', '一', '二', '三', '四', '五', '六']"
"admin/src/views/dashboard/index.vue",35,TMPL_LITERAL,"`${d.getFullYear()}年${d.getMonth() + 1}月${d.getDate()}日 周${weekDays[d.getDay()]}`","/* TODO: t() with named interpolation */"
"admin/src/views/dashboard/index.vue",35,UNMAPPED,"return `${d.getFullYear()}年${d.getMonth() + 1}月${d.getDate()}日 周${weekDays[d.getDay()]}`","return `${d.getFullYear()}年${d.getMonth() + 1}月${d.getDate()}日 周${weekDays[d.getDay()]}`"
"admin/src/views/finance/expense/index.vue",117,UNMAPPED,"reviewComment: status === 'approved' ? '审核通过' : t('rejected_2')","reviewComment: status === 'approved' ? '审核通过' : t('rejected_2')"
"admin/src/views/finance/expense/index.vue",119,UNMAPPED,"message.success(status === 'approved' ? '报销已通过' : t('expense_rejected'))","message.success(status === 'approved' ? '报销已通过' : t('expense_rejected'))"
"admin/src/views/finance/settlement/index.vue",27,UNMAPPED,"{ title: '课程ID', dataIndex: 'recordCode', key: 'recordCode', width: 100 },","{ title: '课程ID', dataIndex: 'recordCode', key: 'recordCode', width: 100 },"
"admin/src/views/finance/settlement/index.vue",84,TMPL_LITERAL,"`批量结算 ${selectedSettlementIds.value.length} 条记录`","/* TODO: t() with named interpolation */"
"admin/src/views/finance/settlement/index.vue",84,UNMAPPED,"return `批量结算 ${selectedSettlementIds.value.length} 条记录`","return `批量结算 ${selectedSettlementIds.value.length} 条记录`"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",32,TMPL_LITERAL,":placeholder=""`请输入${nameFieldLabel}`""","/* TODO: t() with interpolation */"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",45,TERNARY_UNMAPPED,":placeholder=""`请选择${parentFieldLabel}`""",":placeholder=""`请选择${parentFieldLabel}`"""
"admin/src/views/permission/dicts/components/BaseDataModal.vue",45,TMPL_LITERAL,":placeholder=""`请选择${parentFieldLabel}`""","/* TODO: t() with interpolation */"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",68,TMPL_LITERAL,"`${props.tabLabel}名称`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",68,UNMAPPED,"const nameFieldLabel = computed(() => nameFieldLabelMap[props.tab] ?? `${props.tabLabel}名称`)","const nameFieldLabel = computed(() => nameFieldLabelMap[props.tab] ?? `${props.tabLabel}名称`)"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",71,TMPL_LITERAL,"`所属${parentTabInfo.value.label}`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",71,UNMAPPED,"return parentFieldLabelMap[props.tab] ?? `所属${parentTabInfo.value.label}`","return parentFieldLabelMap[props.tab] ?? `所属${parentTabInfo.value.label}`"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",92,TMPL_LITERAL,"`请输入${nameFieldLabel.value}`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",92,UNMAPPED,"dictLabel: [{ required: true, message: `请输入${nameFieldLabel.value}`, trigger: 'blur' }],","dictLabel: [{ required: true, message: `请输入${nameFieldLabel.value}`, trigger: 'blur' }],"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",95,TMPL_LITERAL,"`请选择${parentFieldLabel.value}`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/dicts/components/BaseDataModal.vue",95,UNMAPPED,"? [{ required: true, message: `请选择${parentFieldLabel.value}`, trigger: 'change' }]","? [{ required: true, message: `请选择${parentFieldLabel.value}`, trigger: 'change' }]"
"admin/src/views/permission/dicts/index.vue",44,TERNARY_UNMAPPED,":data-field-name=""`${currentTabLabel}搜索`""",":data-field-name=""`${currentTabLabel}搜索`"""
"admin/src/views/permission/dicts/index.vue",44,TMPL_LITERAL,":data-field-name=""`${currentTabLabel}搜索`""","/* TODO: t() with interpolation */"
"admin/src/views/permission/dicts/index.vue",45,TERNARY_UNMAPPED,":placeholder=""`搜索${currentTabLabel}...`""",":placeholder=""`搜索${currentTabLabel}...`"""
"admin/src/views/permission/dicts/index.vue",45,TMPL_LITERAL,":placeholder=""`搜索${currentTabLabel}...`""","/* TODO: t() with interpolation */"
"admin/src/views/permission/dicts/index.vue",57,TERNARY_UNMAPPED,":aria-label=""`新增${currentAddLabel}`""",":aria-label=""`新增${currentAddLabel}`"""
"admin/src/views/permission/dicts/index.vue",57,TMPL_LITERAL,":aria-label=""`新增${currentAddLabel}`""","/* TODO: t() with interpolation */"
"admin/src/views/permission/dicts/index.vue",86,TMPL_LITERAL,"`${item.dict_name}名称`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/dicts/index.vue",86,UNMAPPED,"nameHeader: `${item.dict_name}名称`,","nameHeader: `${item.dict_name}名称`,"
