key,zh,en,file,line
"zh_e7bb9fe8aea1e58d","统计卡片数据","Statistics card data","admin/src/api/dashboard.ts","5"
"zh_e5be85e5a484e790","待处理事项","To-do items","admin/src/api/dashboard.ts","22"
"zh_e69c80e8bf91e6b4","最近活动","Recent activities","admin/src/api/dashboard.ts","29"
"zh_e5ada6e59198e78a","学员状态分布","Student status distribution","admin/src/api/dashboard.ts","39"
"zh_e69cace69c88e7bb","本月统计","Statistics for this month","admin/src/api/dashboard.ts","47"
"zh_e88eb7e58f9635e4","获取5个统计卡片数据","Get 5 stat card data","admin/src/api/dashboard.ts","58"
"zh_e88eb7e58f96e5be","获取待处理事项列表","Get a to-do list","admin/src/api/dashboard.ts","63"
"zh_e88eb7e58f96e69c","获取最近5条操作日志","Get the last 5 operation logs","admin/src/api/dashboard.ts","68"
"zh_e88eb7e58f96e5ad","获取学员状态分布","Get student status distribution","admin/src/api/dashboard.ts","73"
"zh_e88eb7e58f96e69c","获取本月统计","Get statistics for this month","admin/src/api/dashboard.ts","78"
"zh_e689bee59b9ee5af","找回密码","Retrieve password","admin/src/components/ForgotPasswordModal.vue","15"
"zh_e8afb7e8be93e585","请输入您的注册邮箱，我们将发送验证码","Please enter your registered email and we will send a verification code","admin/src/components/ForgotPasswordModal.vue","33"
"zh_e982aee7aeb1e59c","邮箱地址","Email address","admin/src/components/ForgotPasswordModal.vue","44"
"zh_e8afb7e8be93e585","请输入注册邮箱","Please enter your registered email address","admin/src/components/ForgotPasswordModal.vue","46"
"zh_e58f91e98081e9aa","发送验证码","Send verification code","admin/src/components/ForgotPasswordModal.vue","59"
"zh_e9aa8ce8af81e7a0","验证码已发送至","Verification code has been sent to","admin/src/components/ForgotPasswordModal.vue","64"
"zh_e9aa8ce8af81e7a0","验证码","Verification code","admin/src/components/ForgotPasswordModal.vue","76"
"zh_e8afb7e8be93e585","请输入6位验证码","Please enter the 6-digit verification code","admin/src/components/ForgotPasswordModal.vue","81"
"zh_e9878de696b0e58f","重新发送","Resend","admin/src/components/ForgotPasswordModal.vue","91"
"zh_e9aa8ce8af81","验证","Verify","admin/src/components/ForgotPasswordModal.vue","106"
"zh_e8afb7e8aebee7bd","请设置您的新密码","Please set your new password","admin/src/components/ForgotPasswordModal.vue","111"
"zh_e696b0e5af86e7a0","新密码","new password","admin/src/components/ForgotPasswordModal.vue","122"
"zh_e4bd8defbc8ce58c","位，包含字母和数字","bits, including letters and numbers","admin/src/components/ForgotPasswordModal.vue","126"
"zh_e7a1aee8aea4e5af","确认密码","Confirm password","admin/src/components/ForgotPasswordModal.vue","133"
"zh_e8afb7e5868de6ac","请再次输入新密码","Please enter new password again","admin/src/components/ForgotPasswordModal.vue","137"
"zh_e4bd8de5ad97e7ac","位字符","bit character","admin/src/components/ForgotPasswordModal.vue","147"
"zh_e58c85e590abe5ad","包含字母","Contains letters","admin/src/components/ForgotPasswordModal.vue","151"
"zh_e58c85e590abe695","包含数字","Contains numbers","admin/src/components/ForgotPasswordModal.vue","155"
"zh_e9878de7bdaee5af","重置密码","reset password","admin/src/components/ForgotPasswordModal.vue","169"
"zh_e5af86e7a081e987","密码重置成功","Password reset successful","admin/src/components/ForgotPasswordModal.vue","177"
"zh_e682a8e79a84e5af","您的密码已成功重置，请使用新密码登录","Your password has been reset successfully, please use your new password to log in","admin/src/components/ForgotPasswordModal.vue","178"
"zh_e8bf94e59b9ee799","返回登录","Return to login","admin/src/components/ForgotPasswordModal.vue","187"
"zh_e8afb7e8be93e585","请输入邮箱地址","Please enter your email address","admin/src/components/ForgotPasswordModal.vue","248"
"zh_e8afb7e8be93e585","请输入正确的邮箱格式","Please enter the correct email format","admin/src/components/ForgotPasswordModal.vue","249"
